Tournament,Date,Venue,former team,Oponent,home scaore,away score,Pos.,Goals,Assists,yellow card,2 yellow cards,red card,injury,played time,
Premier League,2023-08-11,A,Manchester City,Burnley  (18.),0,3,CF,2,0,0,0,0,no,80',
Premier League,2023-08-19,H,Manchester City,Newcastle  (8.),1,0,CF,0,0,0,0,0,no,90',
Premier League,2023-08-27,A,Manchester City,Sheff Utd  (18.),1,2,CF,1,0,0,0,0,no,90',
Premier League,2023-09-02,H,Manchester City,Fulham  (13.),5,1,CF,3,1,0,0,0,no,90',
Premier League,2023-09-16,A,Manchester City,West Ham  (6.),1,3,CF,1,0,0,0,0,no,90',
Premier League,2023-09-23,H,Manchester City,Nottm Forest  (12.),2,0,CF,1,0,0,0,0,no,90',
Premier League,2023-09-30,A,Manchester City,Wolves  (15.),2,1,CF,0,0,0,0,0,no,90',
Premier League,2023-10-08,A,Manchester City,Arsenal  (2.),1,0,CF,0,0,0,0,0,no,90',
Premier League,2023-10-21,H,Manchester City,Brighton  (7.),2,1,CF,1,0,0,0,0,no,90',
Premier League,2023-10-29,A,Manchester City,Man Utd  (8.),0,3,CF,2,1,0,0,0,no,90',
Premier League,2023-11-04,H,Manchester City,Bournemouth  (17.),6,1,CF,0,0,0,0,0,no,45',
Premier League,2023-11-12,A,Manchester City,Chelsea  (10.),4,4,CF,2,1,0,0,0,no,90',
Premier League,2023-11-25,H,Manchester City,Liverpool  (3.),1,1,CF,1,0,0,0,0,no,90',
Premier League,2023-12-03,H,Manchester City,Tottenham  (5.),3,3,CF,0,1,1,0,0,no,90',
Premier League,2023-12-06,A,Manchester City,Aston Villa  (3.),1,0,CF,0,0,0,0,0,no,90',
Premier League,2023-12-10,A,Manchester City,Luton  (18.),1,2,Injury,0,0,0,0,0,yes,0',
Premier League,2023-12-16,H,Manchester City,Crystal Palace  (15.),2,2,Injury,0,0,0,0,0,yes,0',
Premier League,2023-12-27,A,Manchester City,Everton  (17.),1,3,Injury,0,0,0,0,0,yes,0',
Premier League,2023-12-30,H,Manchester City,Sheff Utd  (20.),2,0,Injury,0,0,0,0,0,yes,0',
Premier League,2024-01-13,A,Manchester City,Newcastle  (10.),2,3,Injury,0,0,0,0,0,yes,0',
Premier League,2024-01-31,H,Manchester City,Burnley  (19.),3,1,CF,0,0,0,0,0,no,19',
Premier League,2024-02-05,A,Manchester City,Brentford  (15.),1,3,CF,0,1,0,0,0,no,86',
Premier League,2024-02-10,H,Manchester City,Everton  (18.),2,0,CF,2,0,0,0,0,no,90',
Premier League,2024-02-17,H,Manchester City,Chelsea  (10.),1,1,CF,0,0,0,0,0,no,90',
